Nom,Commune,X,Y,Distance
FRANCOISE CORTEGGIANI,Calenzana,8.857036,42.508092,841.55
FREDERIC FRAU,Furiani,9.432399,42.655848,11934.82
FREDERIC GROSSI,Bastelica,9.052614,42.001956,17093.68
FREDERIC LEBLOND,Santa-Maria-di-Lota,9.461567,42.742195,6172.62
GENEVIEVE BAUFAYS,Zonza,9.366629,41.653392,5357.97
GERARD CIANELLI,Bastia,9.449757,42.699251,9013.27
GERARD VENTURINI,Santa-Maria-Siché,8.977334,41.877522,11867.0
GILBERT GUIDICELLI,Morosaglia,9.205972,42.465531,15621.66
GILLES TESTOU,Ajaccio,8.770131,41.948987,11242.6
GODEFROY JOCHMANS,Saint-Florent,9.304686,42.682567,12290.72
GREGOIRE TOMASI,Coti-Chiavari,8.778254,41.742582,11869.42
GREGORY DESAILLY,Ajaccio,8.735759,41.944889,11240.18
GUILLAUME BINET,Ajaccio,8.643836,41.91033,11234.76
GUILLAUME DALLE,Propriano,8.902313,41.674296,5755.06
GWENAEL ALFONSI,Bastia,9.442327,42.699007,9012.68
HELENE MAX TRICHARD,Bastia,9.449657,42.692409,9013.41
HENRI AMBROSI,Bastia,9.44993,42.692066,9013.44
JACQUELINE BACOU,Lucciana,9.453876,42.55039,5198.44
JACQUES LUCIANI,Propriano,8.90122,41.674607,5755.02
JACQUES PHILIPP EMANUELLI,Penta-di-Casinca,9.505674,42.451789,12930.63
JANA HUFSCHMIDT,Venzolasca,9.524856,42.51253,3788.89
JASMINE MERINDOL,San-Nicolao,9.526545,42.369702,17352.19
JEAN ALAIN PAPI,Penta-di-Casinca,9.505674,42.451789,12930.63
JEAN BAPTISTE CALENDINI,Bastia,9.450188,42.701057,9013.26
JEAN CHRISTOPHE BASTERI,San-Martino-di-Lota,9.454077,42.720864,5319.21
JEAN CHRISTOPHE COLOMBANI,Ajaccio,8.759802,41.936854,11242.36
JEAN CHRISTOPHE ROSIUS,Ajaccio,8.753146,41.937047,11241.85
JEAN DOMINIQUE PAJANACCI,Bastia,9.446985,42.701037,9013.01
JEAN FRANCOIS ALBERTINI,Bastia,9.450568,42.698514,9013.35
JEAN FRANCOIS LASSUS,Porto-Vecchio,9.227758,41.577252,7781.74
JEAN FRANCOIS PERNOT,Coti-Chiavari,8.736995,41.758476,11865.93
JEAN FRANCOIS PIETRI,Ajaccio,8.74895,41.93507,11241.62
JEAN LOUIS LESCHI,Corte,9.150586,42.308818,14731.37
JEAN LOUIS MAZZONI,Bastia,9.449164,42.6977,9013.25
JEAN LOUIS PEGULLO,Aléria,9.515987,42.116697,7695.8
JEAN MARC LIBOUREL,Bonifacio,9.158042,41.386671,5999.23
JEAN MARC MERLENGHI,Ajaccio,8.74895,41.93507,11241.62
JEAN MARC NERI,Ajaccio,8.719281,41.909807,11240.5
JEAN MARCEL SENCY,Vescovato,9.463689,42.498798,9740.59
JEAN MARIE ROSSI,Ajaccio,8.738544,41.930457,11241.04
JEAN MAURICE GALLI,Bastia,9.428744,42.672293,9012.19
JEAN MICHEL POGGI,Cargèse,8.597414,42.135755,4621.96
JEAN NOEL CORAZZI,Vescovato,9.463689,42.498798,9740.59
JEAN NOEL VELLOZZI,Lucciana,9.453876,42.55039,5198.44
JEAN PAUL CARROLAGGI,Urbalacone,8.939764,41.804412,14099.35
JEAN PAUL LEGAY,Porto-Vecchio,9.275517,41.596913,7780.39
JEAN PAUL PERNET,L'Île-Rousse,8.927976,42.62808,12872.53
JEAN PHILIPPE FERRACCI SAILLARD,Sarrola-Carcopino,8.786877,41.951519,5051.6
JEAN PHILIPPE ROSSI,Bastia,9.450194,42.709276,9013.08
JEAN PIERRE ALLEGRINI,L'Île-Rousse,8.933763,42.633252,12872.48
