INSEE_COM,Pop_Growth_Abs,Pop_Growth_Pct
2A001,2783,490.8289241622575
2A004,49801,194.97690079085427
2A006,3268,866.8435013262599
2A008,1336,300.90090090090087
2A011,-171,-76.0
2A014,9,12.857142857142856
2A017,1402,401.71919770773644
2A018,-263,-63.22115384615385
2A019,-301,-85.51136363636364
2A021,-274,-78.51002865329512
2A022,-20,-20.0
2A024,-1270,-87.40536820371645
2A026,-150,-42.492917847025495
2A027,-123,-71.09826589595376
2A028,-241,-63.089005235602095
2A031,-2338,-81.89141856392294
2A032,3740,722.007722007722
2A035,-185,-48.68421052631579
2A038,-189,-78.099173553719
2A040,-782,-66.55319148936171
2A041,774,31.022044088176354
2A048,145,38.97849462365591
2A056,-281,-73.17708333333334
2A060,-25,-25.773195876288657
2A061,-267,-69.53125
2A062,1,0.2638522427440633
2A064,8,38.095238095238095
2A065,560,88.46761453396525
2A066,-300,-82.87292817679558
2A070,290,132.4200913242009
2A071,-81,-26.129032258064516
2A085,756,103.98899587345254
2A089,-411,-75.97042513863215
2A090,340,72.64957264957265
2A091,-181,-50.985915492957744
2A092,305,35.382830626450115
2A094,-279,-78.59154929577464
2A098,259,54.8728813559322
2A099,-526,-65.17967781908303
2A100,-184,-71.875
2A103,1171,134.13516609392897
2A104,879,179.3877551020408
2A108,-339,-60.1063829787234
2A114,580,49.91394148020654
2A115,-217,-58.80758807588076
2A117,-171,-65.51724137931035
2A118,-158,-43.28767123287671
2A119,-524,-78.67867867867868
2A127,-118,-53.88127853881278
2A128,-98,-51.578947368421055
2A129,-286,-79.66573816155989
2A130,2904,680.0936768149883
2A131,-618,-80.57366362451108
2A132,-96,-39.34426229508197
2A133,-92,-36.94779116465863
2A139,1875,1293.103448275862
2A141,-211,-63.74622356495468
2A142,-1692,-71.51310228233305
2A144,-246,-69.29577464788733
2A146,-216,-81.50943396226415
2A154,-503,-83.14049586776859
2A158,-134,-79.76190476190477
2A160,-381,-61.951219512195124
2A163,-327,-37.45704467353952
2A174,-122,-55.203619909502265
2A181,197,44.17040358744394
2A186,-329,-59.92714025500911
2A189,-74,-5.526512322628827
2A191,-125,-51.867219917012456
2A196,-89,-55.625
2A197,-289,-75.26041666666666
2A198,38,8.775981524249422
2A200,-1076,-88.99917287014061
2A203,-191,-66.55052264808361
2A204,-805,-89.74358974358975
2A209,1554,318.44262295081967
2A211,-534,-48.369565217391305
2A212,-338,-42.462311557788944
2A215,249,45.19056261343013
2A228,1904,1379.7101449275362
2A232,-279,-50.45207956600362
2A240,-340,-76.0626398210291
2A247,7889,216.31477927063338
2A249,2427,168.89352818371609
2A253,-208,-77.32342007434944
2A254,-291,-61.13445378151261
2A258,-352,-84.81927710843374
2A259,-274,-79.65116279069767
2A262,-300,-85.22727272727273
2A266,-291,-76.78100263852242
2A268,-295,-77.22513089005236
2A269,953,192.91497975708504
2A270,-68,-16.2291169451074
2A271,2648,439.86710963455147
2A272,-513,-12.084805653710246
2A276,277,64.12037037037037
2A278,-639,-84.52380952380952
2A279,-16,-12.213740458015266
2A282,-243,-60.0
2A284,-343,-47.24517906336088
2A285,-298,-82.09366391184572
2A288,680,57.335581787521086
2A295,-36,-20.33898305084746
2A300,195,20.16546018614271
2A308,-1521,-79.92643194955333
2A310,-155,-65.12605042016807
2A312,-423,-53.274559193954666
2A322,-353,-80.04535147392289
2A323,251,161.93548387096774
2A324,53,13.94736842105263
2A326,-314,-72.183908045977
2A330,-262,-34.248366013071895
2A331,-65,-50.78125
2A336,385,251.63398692810458
2A345,276,78.18696883852692
2A348,-106,-9.523809523809524
2A349,536,151.41242937853107
2A351,33,9.065934065934066
2A357,-57,-55.33980582524271
2A358,-378,-88.11188811188812
2A359,-843,-80.209324452902
2A360,-282,-68.78048780487805
2A362,1622,130.07217321571773
2A363,-99,-60.0
2B002,125,103.30578512396693
2B003,-115,-79.86111111111111
2B005,-44,-63.76811594202898
2B007,-615,-75.55282555282555
2B009,1703,317.72388059701495
2B010,270,275.51020408163265
2B012,-306,-85.0
2B013,-45,-62.5
2B015,-64,-73.5632183908046
2B016,158,37.52969121140142
2B020,230,63.18681318681318
2B023,-314,-73.0232558139535
2B025,-9,-10.0
2B029,230,209.0909090909091
2B030,-446,-73.5973597359736
2B033,11561,32.20513677642208
2B034,319,70.26431718061674
2B036,-58,-38.15789473684211
2B037,7464,4289.655172413793
2B039,-174,-46.774193548387096
2B042,9548,1723.4657039711192
2B043,799,105.27009222661397
2B045,-154,-70.31963470319634
2B046,-214,-58.152173913043484
2B047,-526,-66.08040201005025
2B049,465,22.07977207977208
2B050,3778,194.5417095777549
2B051,-228,-78.08219178082192
2B052,-88,-80.0
2B053,-91,-82.72727272727273
2B054,-527,-74.43502824858757
2B055,-45,-29.411764705882355
2B057,-47,-13.46704871060172
2B058,-312,-50.08025682182986
2B059,-247,-67.4863387978142
2B063,-136,-70.46632124352331
2B067,-57,-60.63829787234043
2B068,-220,-89.79591836734694
2B069,-66,-35.294117647058826
2B072,-35,-40.229885057471265
2B073,-321,-73.79310344827587
2B074,224,148.34437086092714
2B075,-88,-55.69620253164557
2B077,347,92.53333333333333
2B078,-103,-78.62595419847328
2B079,131,34.748010610079575
2B080,-195,-56.195965417867434
2B081,-66,-61.6822429906542
2B082,-125,-78.125
2B083,-17,-10.559006211180124
2B084,71,39.8876404494382
2B086,-195,-52.139037433155075
2B087,1088,101.39794967381175
2B088,-122,-35.26011560693642
2B093,425,82.20502901353966
2B095,-562,-81.92419825072886
2B096,3602,87.11003627569528
2B097,-91,-65.0
2B101,-234,-74.52229299363057
2B102,-31,-27.67857142857143
2B105,-280,-75.26881720430107
2B106,-89,-89.8989898989899
2B107,-227,-64.30594900849859
2B109,-119,-33.52112676056338
2B110,16,30.76923076923077
2B111,-208,-80.0
2B112,-15,-6.048387096774194
2B113,-103,-63.580246913580254
2B116,-45,-58.44155844155844
2B120,6009,2009.6989966555184
2B121,-73,-15.835140997830802
2B122,-291,-82.90598290598291
2B123,3427,418.43711843711844
2B124,-919,-82.56963162623539
2B125,-41,-45.05494505494506
2B126,-275,-77.24719101123596
2B134,1682,109.86283474853037
2B135,-338,-50.44776119402985
2B136,-189,-55.42521994134897
2B137,-88,-80.73394495412845
2B138,-21,-11.864406779661017
2B140,-234,-67.0487106017192
2B143,757,200.79575596816977
2B145,-294,-59.877800407331975
2B147,-705,-86.50306748466258
2B148,5771,989.8799313893653
2B149,-262,-75.50432276657061
2B150,781,191.421568627451
2B152,-177,-17.11798839458414
2B153,-121,-50.84033613445378
2B155,-224,-81.15942028985508
2B156,-46,-64.7887323943662
2B157,-190,-88.37209302325581
2B159,-234,-75.2411575562701
2B161,-344,-84.72906403940887
2B162,372,107.20461095100863
2B164,-121,-83.44827586206897
2B165,22,6.875000000000001
2B166,129,26.3265306122449
2B167,-180,-30.15075376884422
2B168,1658,415.5388471177945
2B169,211,28.133333333333333
2B170,-280,-72.3514211886305
2B171,-106,-75.71428571428571
2B172,-39,-6.467661691542288
2B173,-306,-55.23465703971119
2B175,-15,-10.79136690647482
2B176,-274,-78.51002865329512
2B177,-17,-20.0
2B178,-182,-74.28571428571429
2B179,-142,-71.0
2B180,-75,-48.38709677419355
2B182,-14,-5.405405405405405
2B183,-49,-35.25179856115108
2B184,12,14.457831325301203
2B185,1087,149.10836762688615
2B187,-221,-63.142857142857146
2B188,207,58.14606741573034
2B190,-301,-61.68032786885246
2B192,-356,-71.91919191919192
2B193,37,6.583629893238434
2B194,-45,-64.28571428571429
2B195,-41,-23.976608187134502
2B199,8,4.395604395604396
2B201,-154,-43.87464387464387
2B202,-55,-68.75
2B205,356,68.33013435700576
2B206,-74,-64.91228070175438
2B207,2936,500.1703577512777
2B208,-242,-68.94586894586895
2B210,-265,-70.47872340425532
2B213,-316,-85.17520215633422
2B214,-52,-74.28571428571429
2B216,-59,-75.64102564102564
2B217,-165,-76.74418604651163
2B218,-254,-69.9724517906336
2B219,-289,-78.31978319783198
2B220,56,57.73195876288659
2B221,-25,-59.523809523809526
2B222,-160,-81.21827411167513
2B223,156,44.95677233429395
2B224,369,128.57142857142858
2B225,-329,-76.51162790697674
2B226,-371,-86.48018648018649
2B227,-174,-84.46601941747572
2B229,-10,-2.7777777777777777
2B230,-122,-51.26050420168067
2B231,66,117.85714285714286
2B233,-221,-58.93333333333334
2B234,-89,-83.17757009345794
2B235,-191,-68.95306859205776
2B236,-365,-66.2431941923775
2B238,-143,-40.50991501416431
2B239,-1,-0.4608294930875576
2B241,-63,-64.28571428571429
2B242,624,313.5678391959799
2B243,-59,-62.76595744680851
2B244,-20,-32.25806451612903
2B245,-154,-77.77777777777779
2B246,-219,-53.41463414634147
2B248,-56,-52.336448598130836
2B250,-228,-60.47745358090185
2B251,2822,308.7527352297593
2B252,-195,-52.56064690026954
2B255,-146,-76.04166666666666
2B256,-21,-40.38461538461539
2B257,-86,-34.67741935483871
2B260,-36,-19.35483870967742
2B261,-168,-23.728813559322035
2B263,-97,-58.08383233532935
2B264,-154,-70.96774193548387
2B265,164,46.19718309859155
2B267,-49,-51.578947368421055
2B273,-23,-35.38461538461539
2B274,-75,-47.16981132075472
2B275,-90,-54.21686746987952
2B277,-40,-10.282776349614396
2B280,-310,-75.60975609756098
2B281,673,134.8697394789579
2B283,-15,-2.0026702269692924
2B286,510,130.43478260869566
2B287,-234,-64.46280991735537
2B289,27,31.76470588235294
2B290,-37,-12.416107382550337
2B291,-73,-68.22429906542055
2B292,-320,-85.1063829787234
2B293,-86,-30.3886925795053
2B296,-6,-4.3478260869565215
2B297,-152,-73.7864077669903
2B298,940,126.1744966442953
2B299,-181,-63.50877192982456
2B301,-129,-68.98395721925134
2B302,-272,-73.71273712737127
2B303,633,411.038961038961
2B304,-258,-64.98740554156171
2B305,2325,346.4977645305514
2B306,-235,-66.95156695156696
2B307,1303,608.8785046728972
2B309,1494,313.8655462184874
2B311,660,478.2608695652174
2B313,1532,296.8992248062016
2B314,-366,-51.91489361702127
2B315,146,96.05263157894737
2B316,193,23.9454094292804
2B317,-146,-72.27722772277228
2B318,240,65.04065040650406
2B319,539,177.8877887788779
2B320,-203,-41.942148760330575
2B321,-205,-92.76018099547511
2B327,-102,-36.29893238434164
2B328,-292,-74.68030690537084
2B329,-29,-20.13888888888889
2B332,82,46.32768361581921
2B333,-189,-53.69318181818182
2B334,-318,-72.93577981651376
2B335,202,145.32374100719426
2B337,-276,-62.16216216216216
2B338,-98,-79.03225806451613
2B339,-56,-66.66666666666666
2B340,-126,-54.54545454545454
2B341,-475,-42.486583184257604
2B342,2119,447.0464135021097
2B343,1079,141.78712220762156
2B344,-37,-46.25
2B346,2355,226.87861271676303
2B347,-434,-61.73541963015647
2B350,13,6.25
2B352,-164,-44.32432432432433
2B353,2707,563.9583333333334
2B354,-81,-15.88235294117647
2B355,-117,-23.446893787575153
2B356,-443,-74.57912457912458
2B361,-33,-9.510086455331413
2B364,-100,-72.99270072992701
2B365,-175,-63.63636363636363
2B366,-100,-48.54368932038835
